Station_ID,State,City,Charger_Type,Power_kW,Operator,Installation_Date,Avg_Daily_Sessions,Utilization_Percent,Estimated_Daily_Revenue_INR,Latitude,Longitude
EVCS_00001,Karnataka,Mysuru,Fast,30,ChargeZone,21-02-2025,33,58.9,5464,13.347697,90.055391
EVCS_00002,Karnataka,Bengaluru,Fast,15,Ather Grid,23-12-2022,116,46.2,13312,13.349289,68.887883
EVCS_00003,Karnataka,Bengaluru,Fast,180,Govt Utility,14-01-2022,30,80.7,36010,12.931049,91.956385
EVCS_00004,Karnataka,Mysuru,Slow,60,Statiq,04-04-2022,15,79.7,4354,24.52247,77.624585
EVCS_00005,Karnataka,Mysuru,Fast,30,Tata Power,05-03-2025,80,29.5,17140,11.747127,90.239521
EVCS_00006,Karnataka,Bengaluru,Slow,120,Jio-bp Pulse,21-04-2025,36,96.7,27197,31.645101,76.585992
EVCS_00007,Karnataka,Mysuru,Slow,15,Jio-bp Pulse,03-01-2024,34,54,3029,23.852535,72.334669
EVCS_00008,Karnataka,Mysuru,Slow,180,Govt Utility,15-12-2023,39,62.8,36548,10.154402,74.816119
EVCS_00009,Karnataka,Bengaluru,Slow,15,ChargeZone,22-11-2023,55,37.5,4263,23.74146,74.746591
EVCS_00010,Karnataka,Bengaluru,Slow,180,ChargeZone,06-02-2023,18,30.5,21822,15.645003,82.685827
EVCS_00011,Karnataka,Hubli,Slow,15,Ather Grid,12-07-2024,20,78.3,1575,18.477335,93.128258
EVCS_00012,Karnataka,Mysuru,Slow,350,Govt Utility,06-07-2024,35,60.5,81463,31.056211,69.974821
EVCS_00013,Karnataka,Hubli,Fast,60,Jio-bp Pulse,27-05-2024,35,31.4,10775,21.244976,68.846207
EVCS_00014,Karnataka,Mysuru,Fast,15,Jio-bp Pulse,06-07-2023,96,24.8,9212,14.708608,77.487177
EVCS_00015,Karnataka,Bengaluru,Slow,15,Tata Power,27-11-2022,32,66.7,2531,12.96894,86.707092
EVCS_00016,Karnataka,Mysuru,Slow,180,Jio-bp Pulse,02-08-2024,44,91.9,61468,23.302248,83.470656
EVCS_00017,Karnataka,Mysuru,Slow,30,Tata Power,16-11-2022,45,88.4,9004,27.138945,72.30747
EVCS_00018,Karnataka,Hubli,Fast,30,Jio-bp Pulse,21-11-2022,19,59.5,4230,10.432882,91.201994
EVCS_00019,Karnataka,Bengaluru,Slow,15,Tata Power,19-10-2023,13,72.4,1519,23.090287,87.501024
EVCS_00020,Karnataka,Hubli,Slow,30,Tata Power,06-04-2024,15,66.7,3287,30.909748,85.491726
EVCS_00021,Karnataka,Hubli,Slow,60,Jio-bp Pulse,12-12-2023,42,32.6,12232,8.459809,73.766216
EVCS_00022,Karnataka,Bengaluru,Slow,60,Statiq,09-11-2024,43,64.8,12392,28.246019,89.774332
EVCS_00023,Karnataka,Mysuru,Slow,15,Jio-bp Pulse,27-09-2022,5,32.9,541,24.091836,94.877457
EVCS_00024,Karnataka,Bengaluru,Slow,120,Tata Power,09-10-2022,52,50,35090,30.393852,89.355098
EVCS_00025,Karnataka,Mysuru,Slow,30,ChargeZone,27-01-2023,31,44.7,7040,16.37766,68.732654
EVCS_00026,Karnataka,Bengaluru,Slow,120,Tata Power,08-08-2022,18,91.3,13533,11.515718,91.486858
EVCS_00027,Karnataka,Mysuru,Slow,15,Tata Power,17-11-2022,51,67.4,5064,10.14289,96.625322
EVCS_00028,Karnataka,Hubli,Slow,30,Tata Power,08-01-2024,14,24.1,2298,15.212154,68.585247
EVCS_00029,Karnataka,Mysuru,Fast,120,Govt Utility,02-05-2024,25,97.1,16596,24.596946,78.672774
EVCS_00030,Karnataka,Hubli,Fast,15,Tata Power,18-05-2025,92,37.8,7675,14.619893,87.215194
EVCS_00031,Karnataka,Bengaluru,Fast,30,Statiq,08-01-2024,10,88.3,2283,29.230878,68.162663
EVCS_00032,Karnataka,Bengaluru,Slow,60,Statiq,29-10-2024,30,28.9,10783,28.697123,77.313119
EVCS_00033,Karnataka,Mysuru,Fast,60,Govt Utility,01-09-2024,113,93.4,40878,18.69518,94.021118
EVCS_00034,Karnataka,Hubli,Slow,15,ChargeZone,25-06-2023,12,43.8,1200,31.718587,93.54297
EVCS_00035,Karnataka,Hubli,Slow,15,Jio-bp Pulse,24-10-2024,52,34.7,5748,21.898621,89.961295
EVCS_00036,Karnataka,Mysuru,Slow,120,Ather Grid,07-08-2023,18,36,15009,29.418272,69.210397
EVCS_00037,Karnataka,Mysuru,Slow,30,Jio-bp Pulse,14-05-2024,52,63.5,12465,18.093818,88.326982
EVCS_00038,Karnataka,Bengaluru,Slow,15,Statiq,12-05-2024,3,70.6,341,24.045498,72.39987
EVCS_00039,Karnataka,Mysuru,Fast,30,Govt Utility,10-01-2025,75,57.8,15938,20.992435,72.081995
EVCS_00040,Karnataka,Hubli,Slow,60,ChargeZone,06-04-2024,18,41.5,8093,21.925295,92.014595
EVCS_00041,Karnataka,Hubli,Slow,180,Govt Utility,14-06-2025,41,37.1,56687,11.553638,71.661286
EVCS_00042,Karnataka,Mysuru,Slow,180,Statiq,12-04-2023,9,29.1,11773,27.785472,70.526722
EVCS_00043,Karnataka,Hubli,Fast,60,Statiq,02-04-2022,59,41.3,23410,20.870494,84.142
EVCS_00044,Karnataka,Mysuru,Slow,120,Tata Power,09-04-2025,23,71.2,19008,9.722593,69.02494
EVCS_00045,Karnataka,Bengaluru,Slow,60,ChargeZone,19-12-2022,34,85.4,13989,14.892411,77.886448
EVCS_00046,Karnataka,Mysuru,Fast,350,Govt Utility,03-04-2025,79,52.2,155121,14.391194,90.420352
EVCS_00047,Karnataka,Bengaluru,Slow,180,Statiq,02-03-2024,26,89.9,32481,13.960858,80.692255
EVCS_00048,Karnataka,Hubli,Slow,15,ChargeZone,04-11-2024,11,22.3,995,27.799193,71.771172
EVCS_00049,Karnataka,Hubli,Fast,15,Tata Power,29-05-2025,25,65.7,2942,14.669576,85.307705
EVCS_00050,Karnataka,Hubli,Fast,350,Statiq,02-10-2023,38,82.9,103358,24.576248,96.478114
EVCS_00051,Karnataka,Hubli,Slow,120,ChargeZone,15-12-2023,53,76.4,45101,29.530073,91.584408
EVCS_00052,Karnataka,Hubli,Slow,30,Statiq,23-07-2024,56,71.5,10522,28.141051,82.389329
EVCS_00053,Karnataka,Hubli,Slow,60,Statiq,06-02-2025,25,28.2,11379,24.796082,72.721261
EVCS_00054,Karnataka,Hubli,Fast,30,Jio-bp Pulse,21-10-2022,115,50.8,27271,15.44173,95.197634
EVCS_00055,Karnataka,Bengaluru,Slow,15,Statiq,02-04-2023,18,26.1,1349,26.908234,70.958854
EVCS_00056,Karnataka,Hubli,Slow,15,ChargeZone,04-07-2023,10,74.8,1160,14.486428,85.317498
EVCS_00057,Karnataka,Mysuru,Fast,60,Govt Utility,25-10-2022,24,25.3,10188,31.836427,94.955981
EVCS_00058,Karnataka,Hubli,Slow,120,Govt Utility,27-10-2023,59,23,56602,29.001831,94.236684
EVCS_00059,Karnataka,Mysuru,Fast,60,Ather Grid,19-11-2022,23,23,6981,10.211693,91.471653
EVCS_00060,Karnataka,Hubli,Slow,30,Statiq,08-02-2022,48,84,10208,10.757594,96.28673
EVCS_00061,Karnataka,Bengaluru,Fast,120,Ather Grid,09-06-2025,17,83.3,13291,24.481568,83.192227
EVCS_00062,Karnataka,Mysuru,Fast,30,Govt Utility,21-03-2023,65,37.7,11931,29.921678,82.11332
EVCS_00063,Karnataka,Mysuru,Fast,30,Jio-bp Pulse,18-06-2025,36,47.1,5543,18.84811,70.692582
EVCS_00064,Karnataka,Bengaluru,Slow,15,Jio-bp Pulse,18-12-2023,11,89,1312,22.044717,73.754105
EVCS_00065,Karnataka,Bengaluru,Slow,60,ChargeZone,04-09-2022,38,49.5,15812,18.540278,74.255244
EVCS_00066,Karnataka,Mysuru,Fast,15,Tata Power,25-05-2025,87,36.6,7332,10.589842,79.652139
EVCS_00067,Karnataka,Bengaluru,Slow,120,Tata Power,28-01-2024,37,27.5,26303,28.932676,85.053868
EVCS_00068,Karnataka,Mysuru,Slow,30,Statiq,10-10-2024,54,90.9,9966,9.031459,73.63188
EVCS_00069,Karnataka,Hubli,Slow,15,Ather Grid,12-10-2024,38,43.1,3093,22.819815,74.089773
EVCS_00070,Karnataka,Mysuru,Slow,30,Statiq,25-05-2025,29,35.7,5500,13.366483,81.84827
EVCS_00071,Karnataka,Mysuru,Slow,15,Govt Utility,11-06-2023,43,74,3118,10.315725,83.240712
EVCS_00072,Karnataka,Hubli,Slow,120,Jio-bp Pulse,31-10-2024,37,40.7,35285,31.552244,81.007213
EVCS_00073,Karnataka,Mysuru,Slow,15,ChargeZone,22-02-2024,31,20.9,2693,32.988704,77.578797
EVCS_00074,Karnataka,Mysuru,Slow,30,ChargeZone,11-09-2022,48,96.2,11080,29.496864,69.897453
EVCS_00075,Karnataka,Bengaluru,Slow,15,Govt Utility,12-02-2023,49,83.7,4725,22.876109,76.361587
EVCS_00076,Karnataka,Bengaluru,Slow,15,ChargeZone,10-07-2024,30,53.9,2292,32.048276,90.912171
EVCS_00077,Karnataka,Mysuru,Slow,30,Statiq,09-10-2024,32,22.7,5770,17.664416,75.527639
EVCS_00078,Karnataka,Hubli,Slow,30,Govt Utility,22-01-2024,59,40.5,12757,14.921286,88.784663
EVCS_00079,Karnataka,Bengaluru,Slow,60,Statiq,27-01-2023,18,32.6,7509,27.282047,74.879792
EVCS_00080,Karnataka,Hubli,Slow,350,Ather Grid,08-05-2024,51,84,103447,31.446344,76.71525
EVCS_00081,Karnataka,Hubli,Slow,350,ChargeZone,27-08-2022,22,95.7,42505,31.506671,79.588744
EVCS_00082,Karnataka,Hubli,Slow,30,Govt Utility,22-05-2025,10,92.2,2111,32.107599,96.288886
EVCS_00083,Karnataka,Bengaluru,Slow,60,ChargeZone,13-05-2025,32,39.7,10617,24.271326,74.848761
EVCS_00084,Karnataka,Bengaluru,Slow,15,Jio-bp Pulse,30-06-2024,43,96.5,4265,11.079589,83.20093
EVCS_00085,Karnataka,Mysuru,Slow,60,Jio-bp Pulse,05-02-2025,27,80.2,8129,20.874283,80.830498
EVCS_00086,Karnataka,Hubli,Slow,15,Jio-bp Pulse,09-05-2024,18,63.8,1818,13.955682,94.66669
EVCS_00087,Karnataka,Mysuru,Fast,15,Statiq,10-12-2024,107,84,8292,28.872369,82.008755
EVCS_00088,Karnataka,Bengaluru,Slow,60,ChargeZone,25-12-2023,10,37.2,4607,33.735961,74.184489
EVCS_00089,Karnataka,Bengaluru,Slow,60,Tata Power,30-09-2022,38,80.6,15737,30.514726,95.12535
EVCS_00090,Karnataka,Hubli,Slow,15,Statiq,25-04-2023,31,38.4,3703,23.897123,73.773259
EVCS_00091,Karnataka,Hubli,Slow,120,ChargeZone,22-06-2024,26,63.6,21137,20.662709,96.850063
EVCS_00092,Karnataka,Hubli,Slow,30,Govt Utility,30-11-2022,32,32.1,5516,27.365755,82.123276
EVCS_00093,Karnataka,Mysuru,Slow,60,Govt Utility,01-06-2023,59,69.2,25073,23.506172,81.114196
EVCS_00094,Karnataka,Bengaluru,Slow,60,Tata Power,14-04-2024,3,25.7,920,34.782256,75.337733
EVCS_00095,Karnataka,Mysuru,Slow,15,Tata Power,11-12-2024,5,89.2,447,9.954894,85.875724
EVCS_00096,Karnataka,Bengaluru,Slow,120,Govt Utility,27-09-2023,50,96.7,40054,8.073009,82.934505
EVCS_00097,Karnataka,Mysuru,Slow,30,Ather Grid,08-03-2024,29,93.9,4874,12.25086,77.948605
EVCS_00098,Karnataka,Bengaluru,Slow,15,Jio-bp Pulse,04-06-2022,42,20.5,4724,11.672916,90.110819
EVCS_00099,Karnataka,Bengaluru,Fast,120,Govt Utility,27-05-2023,93,55,85738,32.496701,81.597558
EVCS_00100,Karnataka,Hubli,Fast,60,Ather Grid,20-03-2022,17,23.2,6386,29.5318,74.855805
EVCS_00101,Karnataka,Bengaluru,Slow,15,Ather Grid,09-08-2024,5,97.7,464,8.579537,68.437946
EVCS_00102,Karnataka,Mysuru,Slow,15,Govt Utility,20-04-2025,8,75.6,945,27.745964,92.361346
EVCS_00103,Karnataka,Bengaluru,Slow,60,Statiq,03-08-2022,10,49.8,3646,18.452842,73.432282
EVCS_00104,Karnataka,Mysuru,Slow,30,ChargeZone,01-03-2023,32,86.5,7019,20.942085,76.628655
EVCS_00105,Karnataka,Mysuru,Slow,180,Tata Power,27-08-2022,52,54.1,66685,16.512367,73.244401
EVCS_00106,Karnataka,Hubli,Slow,180,Jio-bp Pulse,05-09-2022,38,83.3,39936,24.762571,73.266144
EVCS_00107,Karnataka,Bengaluru,Slow,30,Tata Power,08-06-2024,39,37.9,9208,24.066472,81.518047
EVCS_00108,Karnataka,Mysuru,Slow,60,Ather Grid,07-07-2022,46,45.2,20455,33.56982,72.678995
EVCS_00109,Karnataka,Mysuru,Slow,30,Jio-bp Pulse,19-04-2023,9,63.1,1834,13.542472,86.65241
EVCS_00110,Karnataka,Bengaluru,Fast,15,Tata Power,02-01-2025,116,25.1,8912,32.045432,76.736033
EVCS_00111,Karnataka,Mysuru,Slow,30,ChargeZone,22-04-2022,8,27.4,1767,23.863782,75.163742
EVCS_00112,Karnataka,Hubli,Fast,15,Statiq,15-02-2022,54,36.8,5652,20.821421,94.993662
EVCS_00113,Karnataka,Bengaluru,Slow,120,Statiq,18-04-2025,56,25.7,39653,26.278805,76.051529
EVCS_00114,Karnataka,Hubli,Fast,120,Tata Power,13-12-2024,23,64.3,21816,26.682122,71.848234
EVCS_00115,Karnataka,Hubli,Slow,30,ChargeZone,14-03-2025,57,81.9,10545,24.239661,69.641546
EVCS_00116,Karnataka,Bengaluru,Slow,15,Ather Grid,11-03-2024,45,28.7,3357,25.237049,95.587516
EVCS_00117,Karnataka,Mysuru,Slow,30,ChargeZone,01-01-2024,41,31.1,6964,23.656449,84.335602
EVCS_00118,Karnataka,Mysuru,Slow,30,ChargeZone,15-08-2022,8,32.2,1519,16.910213,74.975701
EVCS_00119,Karnataka,Mysuru,Slow,15,Statiq,30-07-2023,39,48.5,3488,13.779337,78.675467
EVCS_00120,Karnataka,Bengaluru,Slow,60,Govt Utility,21-01-2023,16,96.5,5729,31.588137,79.272162
EVCS_00121,Karnataka,Mysuru,Slow,15,Jio-bp Pulse,12-09-2024,35,53.6,2720,14.965166,81.659852
